month,division,line,period,num_passengers,additional platform time,additional train time,total_apt,total_att,over_five_mins,over_five_mins_perc,customer journey time performance
2024-08-01,B DIVISION,W,peak,1368414,0.792953,-0.19687,1085088,-269398,105823.9,7.7333,92.2667
2024-08-01,Systemwide,Systemwide,Systemwide,120000000,1.343241,0.452824,162000000,54536881,18455960,15.3241,84.6759
2024-07-01,A DIVISION,1,offpeak,4804193.1,1.167348384,0.708647929,5608167.054,3404481.492,627982.1,13.0715416,86.9284584
2024-07-01,A DIVISION,1,peak,5215829.5,1.184503344,0.701971885,6178167.483,3661365.665,627537.3,12.0313998,87.9686002
2024-07-01,A DIVISION,2,offpeak,3118063.1,1.390461552,0.506116223,4335546.857,1578102.32,534693.4,17.1482546,82.8517454
2024-07-01,A DIVISION,2,peak,3539922.6,1.271281374,0.290770106,4500237.668,1029303.669,447220.9,12.633635,87.366365
2024-07-01,A DIVISION,3,offpeak,2348329.4,1.085685505,0.343484546,2549547.19,806614.858,293170.1,12.4841983,87.5158017
2024-07-01,A DIVISION,3,peak,2771804.3,1.304749053,0.424910372,3616509.034,1177768.395,350879.5,12.6588843,87.3411157
2024-07-01,A DIVISION,4,offpeak,4209022.3,0.955546762,0.331887493,4021917.632,1396921.857,531252,12.6217435,87.3782565
2024-07-01,A DIVISION,4,peak,4273719.6,1.129944437,0.265284597,4829065.687,1133751.98,511039.2,11.9577148,88.0422852
2024-07-01,A DIVISION,5,offpeak,2795716.3,1.160360328,0.316876769,3244038.282,885897.5485,362139.6,12.9533744,87.0466256
2024-07-01,A DIVISION,5,peak,3610357.4,1.047582404,0.007304476,3782146.884,26371.7685,384150.1,10.6402236,89.3597764
2024-07-01,A DIVISION,6,offpeak,5370984.4,1.083743457,0.561820422,5820769.201,3017528.721,611951.4,11.3936544,88.6063456
2024-07-01,A DIVISION,6,peak,5833968.4,1.15320493,0.633597742,6727761.12,3696389.205,684358.9,11.7305898,88.2694102
2024-07-01,A DIVISION,7,offpeak,4085461.2,1.002707263,0.411350648,4096521.618,1680557.112,409631.5,10.0265669,89.9734331
2024-07-01,A DIVISION,7,peak,4513409.8,0.749662463,0.241960215,3383533.906,1092065.608,271350.9,6.0121042,93.9878958
2024-07-01,A DIVISION,S 42nd,offpeak,387919.4,0.482605207,-0.093148331,187211.9222,-36134.0445,7121.5,1.8358195,98.1641805
2024-07-01,A DIVISION,S 42nd,peak,460583.2,0.451050518,-0.106411073,207746.2908,-49011.15233,4343.1,0.9429567,99.0570433
2024-07-01,B DIVISION,A,offpeak,3927596.3,1.400190146,1.11789331,5499381.638,4390633.628,866845,22.0706237,77.9293763
2024-07-01,B DIVISION,A,peak,4719253.7,1.119691394,0.719576579,5284107.752,3395864.432,761699.1,16.1402448,83.8597552
2024-07-01,B DIVISION,B,offpeak,2539327.4,1.578234479,0.936420098,4007654.055,2377877.212,534265.2,21.0396344,78.9603656
2024-07-01,B DIVISION,B,peak,3267964.8,1.586619665,1.114775837,5185017.215,3643048.196,706583.7,21.6215211,78.3784789
2024-07-01,B DIVISION,C,offpeak,2820484.1,1.781215521,0.870620852,5023890.056,2455572.27,603125.9,21.3837724,78.6162276
2024-07-01,B DIVISION,C,peak,2183450.2,1.826569442,0.484298345,3988223.413,1057441.318,415699.3,19.0386435,80.9613565
