month,division,line,period,num_passengers,additional platform time,additional train time,total_apt,total_att,over_five_mins,over_five_mins_perc,customer journey time performance
2015-03-01,A DIVISION,4,peak,7008785.8,1.35998823,2.520177416,9531866.195,17663383.68,1853034.9,26.4387435,73.5612565
2015-03-01,A DIVISION,4,offpeak,6329120,1.094640547,1.794326586,6928111.381,11356508.28,1282192.4,20.2586205,79.7413795
2015-03-01,A DIVISION,5,peak,5400979.8,1.632326863,2.865750834,8816164.415,15477862.37,1589803.2,29.4354591,70.5645409
2015-03-01,A DIVISION,5,offpeak,4270073.3,1.242606701,2.167918876,5306021.696,9257172.509,1057258.2,24.7597202,75.2402798
2015-03-01,A DIVISION,6,peak,10003007.5,1.376401995,1.666019266,13768159.48,16665203.21,2042391,20.4177694,79.5822306
2015-03-01,A DIVISION,6,offpeak,9049193.1,1.293503471,1.144761944,11705162.69,10359171.88,1584581.8,17.5107524,82.4892476
2015-03-01,A DIVISION,7,peak,4639499.3,1.088228682,1.797078192,5048836.21,8337543.014,857848.6,18.4901116,81.5098884
2015-03-01,A DIVISION,7,offpeak,4017801.6,0.948783111,1.098910422,3812022.301,4415204.051,631514.9,15.7179215,84.2820785
2015-03-01,A DIVISION,S 42nd,offpeak,1474805.5,0.371827116,0.094693701,548372.6762,139654.7905,19447.3,1.3186349,98.6813651
2015-03-01,A DIVISION,S 42nd,peak,2063170.2,0.438076287,0.153421479,903825.9402,316534.6245,3100.4,0.1502736,99.8497264
2015-03-01,Systemwide,Systemwide,Systemwide,89147300.4,1.148465872,1.51953145,102382632.1,135462126.6,16063844.7,18.0194404,81.9805596
2015-04-01,A DIVISION,1,offpeak,7159924.9,0.999172697,0.774094184,7154001.47,5542456.225,705333.9,9.8511354,90.1488646
2015-04-01,A DIVISION,1,peak,6880455,0.846975864,0.790135465,5827579.321,5436491.509,591798.3,8.6011507,91.3988493
2015-04-01,A DIVISION,2,peak,5493497.6,1.030924698,1.246223033,5663382.357,6846123.24,876642.8,15.9578262,84.0421738
2015-04-01,A DIVISION,2,offpeak,5494179.9,1.380889218,1.51115584,7586853.785,8302562.043,1157149.9,21.0613762,78.9386238
2015-04-01,A DIVISION,3,offpeak,4242275.9,0.902624686,0.999616841,3829182.953,4240650.435,478684.2,11.283665,88.716335
2015-04-01,A DIVISION,3,peak,4147579.3,0.771030082,1.056112568,3197908.407,4380310.625,450297.2,10.8568678,89.1431322
2015-04-01,A DIVISION,4,offpeak,6318513.5,0.910242219,1.530916014,5751377.746,9673113.503,1131870,17.9135488,82.0864512
2015-04-01,A DIVISION,4,peak,6372764.5,0.871536866,2.188267695,5554099.199,13945314.68,1435998.5,22.5333684,77.4666316
2015-04-01,A DIVISION,5,offpeak,4430624.1,1.161109052,1.988545737,5144437.751,8810498.666,1017468.1,22.964442,77.035558
2015-04-01,A DIVISION,5,peak,5035619.5,1.070004251,2.404442863,5388134.269,12107859.37,1271283.4,25.2458193,74.7541807
2015-04-01,A DIVISION,6,offpeak,8886180,1.161512214,1.006112194,10321406.61,8940494.052,1421609.9,15.9979868,84.0020132
2015-04-01,A DIVISION,6,peak,8934389.1,1.265018154,1.453602354,11302164.41,12987049.03,1629575.1,18.2393567,81.7606433
2015-04-01,A DIVISION,7,peak,4175290.5,0.776889121,1.478864813,3243737.768,6174690.203,643594,15.4143526,84.5856474
2015-04-01,A DIVISION,7,offpeak,3982917.2,0.911548736,1.037160757,3630623.14,4130925.42,625256.2,15.6984484,84.3015516
2015-04-01,A DIVISION,S 42nd,peak,1955857.5,0.51443776,0.133643301,1006166.951,261387.2518,14470.6,0.7398596,99.2601404
2015-04-01,A DIVISION,S 42nd,offpeak,1462452.3,0.534487886,0.088389743,781663.0387,129265.7827,30464.2,2.0830902,97.9169098
2015-04-01,Systemwide,Systemwide,Systemwide,84972520.8,1.004827424,1.317004497,85382719.17,111909192,13481496.3,15.865713,84.134287
2015-05-01,A DIVISION,1,peak,6373169.3,0.906467432,0.781166854,5777070.408,4978508.61,584030.8,9.163899,90.836101
2015-05-01,A DIVISION,1,offpeak,6011099.6,0.975851359,0.788339429,5865939.715,4738786.824,645536.5,10.7390751,89.2609249
2015-05-01,A DIVISION,2,peak,4955224.8,1.050082673,1.211949534,5203395.705,6005482.386,805401.7,16.2535855,83.7464145
2015-05-01,A DIVISION,2,offpeak,4492306.2,1.206633262,1.455177438,5420566.083,6537102.629,933918.8,20.7892953,79.2107047
2015-05-01,A DIVISION,3,offpeak,3535158.5,0.707327817,0.946780254,2500515.944,3347018.264,401933.6,11.3696062,88.6303938
2015-05-01,A DIVISION,3,peak,3795412.5,0.821178572,1.012176899,3116711.415,3841628.855,424921.5,11.1956606,88.8043394
2015-05-01,A DIVISION,4,offpeak,5322776.6,1.006921753,1.65013875,5359619.543,8783319.926,1032032.3,19.3889839,80.6110161
2015-05-01,A DIVISION,4,peak,5863728.8,1.150249347,2.370003036,6744750.226,13897055.06,1500487.4,25.5893042,74.4106958
2015-05-01,A DIVISION,5,offpeak,3821563.5,1.15655483,2.144082328,4419847.723,8193746.766,923112.7,24.1553673,75.8446327
2015-05-01,A DIVISION,5,peak,4686722.1,1.185010532,2.64342328,5553815.048,12388990.3,1310949,27.9715539,72.0284461
2015-05-01,A DIVISION,6,offpeak,7235322.1,1.203187677,0.931480914,8705450.393,6739564.445,1058441.2,14.6288055,85.3711945
2015-05-01,A DIVISION,6,peak,7982528.2,1.215852446,1.393240844,9705576.434,11121584.33,1376060,17.2383982,82.7616018
2015-05-01,A DIVISION,7,offpeak,4455855.7,0.834442488,1.081848364,3718155.316,4820560.2,605730.7,13.5940376,86.4059624
2015-05-01,A DIVISION,7,peak,5006681.4,0.802358883,1.575860961,4017155.294,7889833.765,777200.5,15.5232666,84.4767334
2015-05-01,A DIVISION,S 42nd,peak,1758934.6,0.891037078,0.168089152,1567275.947,295657.826,49707.1,2.8259777,97.1740223
2015-05-01,A DIVISION,S 42nd,offpeak,1201640,0.519907521,0.117452127,624741.6737,141135.1743,21423.1,1.7828218,98.2171782
2015-05-01,Systemwide,Systemwide,Systemwide,76498123.9,1.023562185,1.355849922,78300586.87,103719975.4,12450886.9,16.2760683,83.7239317
2015-06-01,A DIVISION,1,offpeak,6207014.2,0.803127309,0.701996185,4985022.612,4357300.286,513867.4,8.2788179,91.7211821
2015-06-01,A DIVISION,1,peak,6566204,0.848098555,0.787059598,5568788.122,5167993.881,559138.3,8.5153964,91.4846036
2015-06-01,A DIVISION,2,peak,5317253.5,1.057724099,1.302043063,5624187.166,6923293.034,884032.7,16.6257392,83.3742608
2015-06-01,A DIVISION,2,offpeak,4839217.4,1.188040297,1.595298071,5749185.277,7719994.184,1033448.4,21.3556928,78.6443072
2015-06-01,A DIVISION,3,offpeak,3743677.3,0.739319887,0.951595808,2767775.08,3562467.627,430393.9,11.4965545,88.5034455
2015-06-01,A DIVISION,3,peak,4035042.2,0.765279923,1.030937604,3087936.783,4159876.739,456023.9,11.3015894,88.6984106
2015-06-01,A DIVISION,4,offpeak,5867317.3,0.92768544,1.478445572,5443024.832,8674509.281,1033125.6,17.6081427,82.3918573
2015-06-01,A DIVISION,4,peak,6380307.4,1.049921927,2.312414717,6698824.638,14753916.73,1518277.7,23.7963096,76.2036904
2015-06-01,A DIVISION,5,peak,4978684.3,1.249264711,2.56471681,6219694.605,12768915.31,1307681.3,26.2655999,73.7344001
2015-06-01,A DIVISION,5,offpeak,4086669.9,1.136774997,1.853917896,4645624.162,7576350.463,886075,21.6820791,78.3179209
2015-06-01,A DIVISION,6,offpeak,7633764.6,1.113805177,0.925691799,8502526.528,7066513.285,1125877.5,14.7486536,85.2513464
2015-06-01,A DIVISION,6,peak,8386902,1.297242824,1.515565773,10879848.43,12710901.61,1503405.7,17.9256381,82.0743619
2015-06-01,A DIVISION,7,offpeak,4132169.9,0.793452297,1.114254275,3278679.699,4604287.977,582418,14.0947254,85.9052746
2015-06-01,A DIVISION,7,peak,4514865.1,0.767264003,1.275666208,3464093.471,5759460.844,586018,12.9797455,87.0202545
